"","ProductName"
"35","Samsung 3.5mm Earphone (EO-IA500), Black  "
"36","HUAWEI FreeBuds SE 2 Wireless Headphones, White, Bluetooth, Up to 40 Hours Battery Life, Lightweight and Comfortable, Balanced Sound, AU Version  "
"37","Nokia Essential E3110 Wireless Earbuds, Bluetooth 5.1, Fully Wireless Earbuds, ENC Noise Reduction, Hands-Free Calling, Left/Right Separated, Up to 25 Hours of Music Playback, Lightweight, Green  "
"38","Laser Earbud Headphones Earphones Blue 3.5mm  "
"39","TELLUR VOX 55 Bluetooth Headset, Handsfree Earpiece, BT v5.2, Multipoint Two Simultaneous Connected Devices, 360° Hook for Right or Left Ear, iPhone and Android  "
"40","TRUTHEAR NOVA 1DD+4BA in-Ear Headphone (NOVA)  "
"41","KZ AS10 IEM 5 Balanced Armature Driver Earphone, Stereo HiFi KZ in Ear Monitor Headphone Musician Headset with Detachable 2 Pin Cable(No Microphone, Black)  "
"42","True Wireless Sleep Earbuds, Damipow Noise Blocking Technology Bluetooth Headphones in-Ear, Smallest and Lightest, Ultra Comfortable Designed Specifically to Help You Asleep Faster and Sleep Better  "
"43","Samsung EO-IC100 USB Type-C Headphones - Sound from AKG - Black  "
"44","Xiaomi Piston in-Ear Headphones Earphones Earbuds Headset with Remote & Mic - 2017 Colorful Basic Edition  "
"45","House of Marley Smile Jamaica in-Ear - Signature Black  "
"46","Linsoul THIEAUDIO Hype 2 2DD + 2BA in-Ear Monitor, HiFi Earphone with Custom Balanced Tuning, Sonion Drivers, Detachable 2 Pin IEM Cable for Audiophile Musician (Purple)  "
"47","Sony WI-C310 Bluetooth Wireless in-Ear Headphones with Mic, up to 15h Battery Life, Black  "
"48","CCZ Melody in-Ear Earphones Headphones Yinyoo Wired Earbuds Without Microphone Ear Monitors IEM HiFi Bass with 1DD 1BA, Ear fins, 4N OFC Cable for Musicians,Singer,Stage(Without mic, Clear Black)  "
"49","Philips A1105 in-Ear Sports Wired Headphones with Contoured Ear Hooks for Secure fit, Deep bass, in-line Remote Control and Microphone, IPX2 Sweat-Resistant, 3.5 mm Connector TAA1105BK  "
"50","HUAWEI FreeBuds Pro 3, Hi-Res Dual Driver Sound System, Intelligent ANC 3.0, Crystal Clear Calls, Up to 31 Hours Battery Life, Android & iOS, Stylish Ergonomic Design, German Version, Grey  "
